Name,Ticker,Weight
ELECTRONIC ARTS INC,EA,0.082507
MODERNA INC,MRNA,0.081920
CUMMINS INC,CMI,0.081810
PPG INDUSTRIES INC,PPG,0.081021
HALLIBURTON CO,HAL,0.080607
KINDER MORGAN INC,KMI,0.079874
ON SEMICONDUCTOR,ON,0.079152
CORTEVA INC,CTVA,0.078252
XCEL ENERGY INC,XEL,0.078144
INGERSOLL RAND INC,IR,0.078086
FAIR ISAAC CORP,FICO,0.077123
KEURIG DR PEPPER INC,KDP,0.076760
VICI PROPERTIES INC,VICI,0.076751
EXTRA SPACE STORAGE INC,EXR,0.075958
MARTIN MARIETTA MATERIALS,MLM,0.074963
CONSOLIDATED EDISON INC,ED,0.074648
CDW CORP/DE,CDW,0.074343
EQUIFAX INC,EFX,0.074290
MONOLITHIC POWER SYSTEMS INC,MPWR,0.073906
BAKER HUGHES CO,BKR,0.073781
KROGER CO,KR,0.073729
ARCH CAPITAL GROUP LTD,ACGL,0.072700
ROYAL CARIBBEAN CRUISES LTD,RCL,0.072470
ANSYS INC,ANSS,0.072226
ESTEE LAUDER COMPANIES CL A,EL,0.071779
KRAFT HEINZ CO/THE,KHC,0.071673
VULCAN MATERIALS CO,VMC,0.071628
DOLLAR GENERAL CORP,DG,0.070143
HERSHEY CO/THE,HSY,0.069513
PUBLIC SERVICE ENTERPRISE GP,PEG,0.069430
QUANTA SERVICES INC,PWR,0.068752
ARCHER DANIELS MIDLAND CO,ADM,0.068640
GE HEALTHCARE TECHNOLOGY,GEHC,0.068499
DUPONT DE NEMOURS INC,DD,0.067509
KEYSIGHT TECHNOLOGIES IN,KEYS,0.067400
DIAMONDBACK ENERGY INC,FANG,0.067115
DOLLAR TREE INC,DLTR,0.066457
XYLEM INC,XYL,0.065366
DEVON ENERGY CORP,DVN,0.065326
TAKE TWO INTERACTIVE SOFTWRE,TTWO,0.064204
CBRE GROUP INC   A,CBRE,0.063985
METTLER TOLEDO INTERNATIONAL,MTD,0.063891
FORTIVE CORP,FTV,0.063589
HARTFORD FINANCIAL SVCS GRP,HIG,0.063554
WILLIS TOWERS WATSON PLC,WTW,0.063366
WEST PHARMACEUTICAL SERVICES,WST,0.063112
CARDINAL HEALTH INC,CAH,0.062893
HP INC,HPQ,0.062748
DISCOVER FINANCIAL SERVICES,DFS,0.061986
RESMED INC,RMD,0.061709
ZIMMER BIOMET HOLDINGS INC,ZBH,0.061699
WEC ENERGY GROUP INC,WEC,0.061142
EDISON INTERNATIONAL,EIX,0.061039
AVALONBAY COMMUNITIES INC,AVB,0.060420
DELTA AIR LINES INC,DAL,0.060142
T ROWE PRICE GROUP INC,TROW,0.059972
SBA COMMUNICATIONS CORP,SBAC,0.059957
TRACTOR SUPPLY COMPANY,TSCO,0.059751
BROADRIDGE FINANCIAL SOLUTIO,BR,0.059451
WEYERHAEUSER CO,WY,0.059317
CHURCH + DWIGHT CO INC,CHD,0.058172
LYONDELLBASELL INDU CL A,LYB,0.058119
M + T BANK CORP,MTB,0.057926
FIFTH THIRD BANCORP,FITB,0.057891
AMERICAN WATER WORKS CO INC,AWK,0.057802
ULTA BEAUTY INC,ULTA,0.057624
APTIV PLC,APTV,0.057576
WABTEC CORP,WAB,0.056822
CORNING INC,GLW,0.056792
WARNER BROS DISCOVERY INC,WBD,0.056495
STATE STREET CORP,STT,0.055716
ILLUMINA INC,ILMN,0.054402
HOWMET AEROSPACE INC,HWM,0.054062
PULTEGROUP INC,PHM,0.053964
NVR INC,NVR,0.053390
EBAY INC,EBAY,0.052807
MOLINA HEALTHCARE INC,MOH,0.052116
PTC INC,PTC,0.052041
STERIS PLC,STE,0.051950
RAYMOND JAMES FINANCIAL INC,RJF,0.051826
DTE ENERGY COMPANY,DTE,0.051646
FLEETCOR TECHNOLOGIES INC,FLT,0.050747
DOVER CORP,DOV,0.050671
ENTERGY CORP,ETR,0.050308
BUILDERS FIRSTSOURCE INC,BLDR,0.049879
HEWLETT PACKARD ENTERPRISE,HPE,0.049442
INTL FLAVORS + FRAGRANCES,IFF,0.049409
EQUITY RESIDENTIAL,EQR,0.049190
CBOE GLOBAL MARKETS INC,CBOE,0.048755
GENUINE PARTS CO,GPC,0.048732
EXPEDIA GROUP INC,EXPE,0.048435
NASDAQ INC,NDAQ,0.048223
TELEDYNE TECHNOLOGIES INC,TDY,0.048114
IRON MOUNTAIN INC,IRM,0.047838
DARDEN RESTAURANTS INC,DRI,0.047557
BAXTER INTERNATIONAL INC,BAX,0.046952
GARMIN LTD,GRMN,0.046905
VENTAS INC,VTR,0.046718
INVITATION HOMES INC,INVH,0.046662
LABORATORY CRP OF AMER HLDGS,LH,0.046357
ALEXANDRIA REAL ESTATE EQUIT,ARE,0.046090
COTERRA ENERGY INC,CTRA,0.046023
COOPER COS INC/THE,COO,0.045993
HUNTINGTON BANCSHARES INC,HBAN,0.045902
TARGA RESOURCES CORP,TRGP,0.045787
PPL CORP,PPL,0.045726
AKAMAI TECHNOLOGIES INC,AKAM,0.045644
WESTERN DIGITAL CORP,WDC,0.045513
