"Company","Current Parent Company","Parent at the Time of the Penalty Announcement","Recap of Ownership Changes","Penalty Amount","Subtraction From Penalty Amount to Avoid Double Counting","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Original System ID","Facility Name","Facility Address","Facility City","Facility State","Facility Zip","Facility County","NAICS Code","NAICS Translation","Current Parent HQ Country","Current Parent HQ State","Current Parent Ownership Structure","Current Parent Stock Ticker","Current Parent ISIN","Current Parent Major Industry","Current Parent Specific Industry","Info Source","PACER Link","Notes"
"Beken Livestock Inc.","","","","$7,900","$0","$7,900","2020","20200817","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","","Texas","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-settles-packers-and-stockyards-case-beken-livestock-inc-resulting-7900-penalty","",""
"Robinson Livestock","","","","$17,000","$0","$17,000","2020","20200803","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Lemmon","South Dakota","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-issues-default-decision-against-mark-robinson-dba-robinson-livestock-violations","",""
"Scott Deters Livestock Company","","","","$17,600","$0","$17,600","2020","20200730","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Corning","Kansas","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-issues-default-decision-against-scott-deters-dba-scott-deters-livestock-company","",""
"Olson Cattle Co.","","","","$40,000","$0","$40,000","2020","20200728","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","","Montana","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-reaches-consent-decision-and-civil-penalty-merle-olson-dba-olson-cattle-co","",""
"Lewiston Sales Inc. dba Arcadia Stockyards","","","","$5,050","$0","$5,050","2020","20200626","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","","","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-settles-packers-and-stockyards-case-lewiston-sales-inc-dba-arcadia-stockyards","",""
"Rock'n M Cattle","","","","$5,000","$0","$5,000","2020","20200528","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Perham","Minnesota","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-reaches-consent-decision-mitchell-lee-barthel-dba-rock%E2%80%99n-m-cattle-packers-and","",""
"Frey Cattle Company Inc.","","","","$7,500","$0","$7,500","2020","20201109","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Ballinger","Texas","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-reaches-consent-decision-and-civil-penalty-frey-cattle-company-inc-and-alan","",""
"Ganaderos Borges Inc.","","","","$11,000","$0","$11,000","2020","20201109","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Naguabo","Puerto Rico","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-settles-packers-and-stockyards-case-against-ganaderos-borges-inc","",""
"Jones Potato Chip Co.","","","","$5,000","$0","$5,000","2020","20200921","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Manfield","Ohio","","","","","","","","","","","","https://www.ams.usda.gov/press-release/jones-potato-chip-co-ohio-satisfies-terms-consent-decision-and-order-involving","",""
"7 S Packing, LLC, dba Texas Packing Company","","","","$797,975","$0","$797,975","2020","20201223","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","","","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-reaches-consent-decision-against-7-s-packing-llc-dba-texas-packing-company","",""
"North Pacific Canners and Packers Inc. dba NORPAC Foods Inc.","","","","$10,000","$0","$10,000","2021","20210518","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","","Oregon","","","","","","","","","","","","https://www.ams.usda.gov/press-release/north-pacific-canners-and-packers-inc-dba-norpac-foods-inc-oregon-satisfies-terms","",""
"Musa Slaughterhouse LLC","","","","$52,025","$0","$52,025","2021","20210402","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","","","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-reaches-consent-decision-against-musa-slaughterhouse-llc-and-musa-s-simreen","",""
"Wyalusing Livestock Market and Auction","","","","$6,000","$0","$6,000","2021","20210402","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Rome","Pennsylvania","","","","","","","","","","","","https://www.ams.usda.gov/press-release/ams-issues-complaint-against-michelle-l-harnish-dba-wyalusing-livestock-market-and","",""
"Ida-Beef LLC","","","","$9,100","$0","$9,100","2021","20210326","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Burley","Idaho","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-settles-packers-and-stockyards-case-against-ida-beef-llc-0","",""
